inst#,actual,predicted,error,prediction
170,20:97,24:101,+,0.134
171,20:97,24:101,+,0.125
172,20:97,24:101,+,0.12
173,20:97,24:101,+,0.114
174,20:97,24:101,+,0.122
175,20:97,24:101,+,0.091
176,20:97,24:101,+,0.136
177,20:97,24:101,+,0.094
178,20:97,24:101,+,0.103
179,20:97,24:101,+,0.108
180,20:97,24:101,+,0.118
181,20:97,24:101,+,0.099
182,20:97,24:101,+,0.123
183,20:97,24:101,+,0.102
184,20:97,24:101,+,0.125
185,20:97,24:101,+,0.085
186,20:97,24:101,+,0.139
187,20:97,24:101,+,0.145
188,20:97,24:101,+,0.15
189,20:97,24:101,+,0.133
190,20:97,24:101,+,0.153
191,20:97,24:101,+,0.102
192,20:97,24:101,+,0.136
193,20:97,24:101,+,0.132
194,20:97,24:101,+,0.107
195,20:97,24:101,+,0.142
196,20:97,24:101,+,0.182
197,20:97,24:101,+,0.108
198,20:97,24:101,+,0.108
199,20:97,24:101,+,0.126
200,20:97,24:101,+,0.108
201,20:97,24:101,+,0.151
202,20:97,24:101,+,0.151
203,20:97,24:101,+,0.136
204,20:97,24:101,+,0.15
205,20:97,24:101,+,0.132
206,20:97,24:101,+,0.111
207,20:97,24:101,+,0.109
208,20:97,24:101,+,0.117
209,20:97,24:101,+,0.141
210,20:97,24:101,+,0.119
211,20:97,24:101,+,0.138
212,20:97,24:101,+,0.16
213,20:97,24:101,+,0.178
214,20:97,24:101,+,0.101
215,20:97,24:101,+,0.073
216,20:97,24:101,+,0.07
217,20:97,24:101,+,0.16
218,20:97,24:101,+,0.174
219,20:97,24:101,+,0.132
220,20:97,24:101,+,0.116
221,20:97,24:101,+,0.135
222,20:97,24:101,+,0.149
223,20:97,24:101,+,0.117
224,20:97,24:101,+,0.089
225,20:97,24:101,+,0.143
226,20:97,24:101,+,0.129
227,20:97,24:101,+,0.1
228,20:97,24:101,+,0.143
229,20:97,24:101,+,0.144
230,20:97,24:101,+,0.127
231,20:97,24:101,+,0.128
232,20:97,24:101,+,0.131
233,20:97,24:101,+,0.112
234,20:97,24:101,+,0.133
235,20:97,24:101,+,0.128
236,20:97,24:101,+,0.1
237,20:97,18:60,+,0.227
238,20:97,24:101,+,0.137
239,20:97,24:101,+,0.126
240,20:97,24:101,+,0.11
241,20:97,24:101,+,0.158
242,20:97,24:101,+,0.128
243,20:97,24:101,+,0.17
244,20:97,24:101,+,0.12
245,20:97,24:101,+,0.136
246,20:97,24:101,+,0.093
247,20:97,24:101,+,0.182
248,20:97,24:101,+,0.11
249,20:97,24:101,+,0.127
250,20:97,24:101,+,0.093
251,20:97,24:101,+,0.091
252,20:97,24:101,+,0.153
253,20:97,24:101,+,0.153
254,20:97,24:101,+,0.147
255,20:97,24:101,+,0.14
256,20:97,24:101,+,0.154
257,20:97,24:101,+,0.11
258,20:97,24:101,+,0.145
259,20:97,24:101,+,0.144
260,20:97,24:101,+,0.1
261,20:97,24:101,+,0.147
262,28:105,24:101,+,0.107
263,28:105,24:101,+,0.154
264,28:105,24:101,+,0.126
265,28:105,24:101,+,0.131
266,28:105,24:101,+,0.146
267,28:105,24:101,+,0.13
268,28:105,24:101,+,0.097
269,28:105,24:101,+,0.109
270,28:105,24:101,+,0.096
271,28:105,24:101,+,0.071
272,28:105,24:101,+,0.117
273,28:105,24:101,+,0.145
274,28:105,24:101,+,0.119
275,28:105,24:101,+,0.089
276,28:105,24:101,+,0.115
277,28:105,24:101,+,0.117
278,28:105,24:101,+,0.096
279,28:105,24:101,+,0.099
280,28:105,24:101,+,0.136
281,28:105,24:101,+,0.147
282,28:105,24:101,+,0.145
283,28:105,24:101,+,0.125
284,28:105,24:101,+,0.122
285,28:105,24:101,+,0.165
286,28:105,24:101,+,0.125
287,28:105,24:101,+,0.096
288,28:105,24:101,+,0.116
289,28:105,24:101,+,0.093
290,28:105,24:101,+,0.146
291,28:105,24:101,+,0.134
292,28:105,24:101,+,0.102
293,28:105,24:101,+,0.138
294,28:105,24:101,+,0.131
295,28:105,24:101,+,0.131
296,28:105,24:101,+,0.105
297,28:105,24:101,+,0.14
298,28:105,24:101,+,0.11
299,28:105,24:101,+,0.131
300,28:105,24:101,+,0.096
301,28:105,24:101,+,0.14
302,28:105,24:101,+,0.102
303,28:105,24:101,+,0.121
304,28:105,24:101,+,0.119
305,28:105,24:101,+,0.135
306,28:105,24:101,+,0.13
307,28:105,24:101,+,0.089
308,28:105,24:101,+,0.147
309,28:105,24:101,+,0.122
310,28:105,24:101,+,0.085
311,28:105,24:101,+,0.128
312,28:105,24:101,+,0.117
313,28:105,24:101,+,0.143
314,28:105,24:101,+,0.124
315,28:105,24:101,+,0.133
316,28:105,24:101,+,0.14
317,28:105,24:101,+,0.151
318,28:105,24:101,+,0.102
319,28:105,24:101,+,0.136
320,28:105,24:101,+,0.121
321,28:105,24:101,+,0.107
322,28:105,24:101,+,0.133
323,28:105,24:101,+,0.129
324,28:105,24:101,+,0.115
325,28:105,24:101,+,0.16
326,28:105,24:101,+,0.1
327,28:105,24:101,+,0.144
328,28:105,24:101,+,0.104
329,28:105,24:101,+,0.157
330,28:105,24:101,+,0.127
331,28:105,24:101,+,0.146
332,28:105,24:101,+,0.114
333,28:105,24:101,+,0.115
334,28:105,24:101,+,0.107
335,28:105,24:101,+,0.144
336,28:105,24:101,+,0.124
337,28:105,24:101,+,0.132
338,28:105,24:101,+,0.1
339,28:105,24:101,+,0.133
340,28:105,24:101,+,0.074
341,28:105,24:101,+,0.117
342,28:105,24:101,+,0.115
343,28:105,24:101,+,0.128
344,28:105,24:101,+,0.118
345,28:105,24:101,+,0.141
346,28:105,24:101,+,0.135
347,28:105,24:101,+,0.162
348,28:105,24:101,+,0.137
349,28:105,24:101,+,0.098
350,28:105,24:101,+,0.102
351,28:105,24:101,+,0.109
352,28:105,24:101,+,0.141
353,28:105,24:101,+,0.136
354,28:105,24:101,+,0.127
355,28:105,24:101,+,0.103
356,31:108,24:101,+,0.116
357,31:108,24:101,+,0.134
358,31:108,24:101,+,0.126
359,31:108,24:101,+,0.129
360,31:108,24:101,+,0.129
361,31:108,20:97,+,0.095
362,31:108,24:101,+,0.135
363,31:108,24:101,+,0.116
364,31:108,24:101,+,0.098
365,31:108,24:101,+,0.171
366,31:108,24:101,+,0.14
367,31:108,24:101,+,0.109
368,31:108,24:101,+,0.175
369,31:108,24:101,+,0.134
370,31:108,24:101,+,0.117
371,31:108,24:101,+,0.143
372,31:108,24:101,+,0.14
373,31:108,24:101,+,0.189
374,31:108,24:101,+,0.128
375,31:108,24:101,+,0.118
376,31:108,24:101,+,0.139
377,31:108,24:101,+,0.169
378,31:108,24:101,+,0.103
379,31:108,24:101,+,0.144
380,31:108,24:101,+,0.086
381,31:108,24:101,+,0.149
382,31:108,24:101,+,0.144
383,31:108,24:101,+,0.16
384,31:108,24:101,+,0.133
385,31:108,24:101,+,0.135
386,31:108,24:101,+,0.144
387,31:108,24:101,+,0.099
388,31:108,24:101,+,0.115
389,31:108,24:101,+,0.141
390,31:108,24:101,+,0.125
391,31:108,24:101,+,0.114
392,31:108,24:101,+,0.127
393,31:108,24:101,+,0.114
394,31:108,24:101,+,0.114
395,31:108,24:101,+,0.156
396,31:108,24:101,+,0.14
397,31:108,24:101,+,0.13
398,31:108,24:101,+,0.11
399,31:108,24:101,+,0.137
400,31:108,24:101,+,0.154
401,31:108,24:101,+,0.118
402,31:108,24:101,+,0.139
403,31:108,24:101,+,0.147
404,31:108,24:101,+,0.136
405,31:108,24:101,+,0.142
406,31:108,24:101,+,0.127
407,31:108,24:101,+,0.118
408,31:108,24:101,+,0.153
409,31:108,24:101,+,0.1
410,31:108,24:101,+,0.116
411,31:108,24:101,+,0.182
412,31:108,24:101,+,0.094
413,31:108,24:101,+,0.129
414,31:108,24:101,+,0.115
415,31:108,24:101,+,0.098
416,31:108,24:101,+,0.146
417,31:108,24:101,+,0.16
418,31:108,24:101,+,0.142
419,31:108,24:101,+,0.16
420,31:108,24:101,+,0.105
421,31:108,24:101,+,0.142
422,31:108,24:101,+,0.1
423,31:108,24:101,+,0.133
424,31:108,24:101,+,0.142
425,31:108,24:101,+,0.144
426,31:108,24:101,+,0.13
427,31:108,24:101,+,0.153
428,31:108,24:101,+,0.133
429,31:108,24:101,+,0.096
430,31:108,24:101,+,0.148
431,31:108,24:101,+,0.131
432,31:108,24:101,+,0.121
433,31:108,24:101,+,0.107
434,31:108,24:101,+,0.148
435,31:108,24:101,+,0.103
436,31:108,24:101,+,0.11
437,31:108,24:101,+,0.146
438,31:108,24:101,+,0.162
439,31:108,24:101,+,0.119
440,31:108,24:101,+,0.122
441,31:108,24:101,+,0.144
442,31:108,24:101,+,0.095
443,31:108,24:101,+,0.107
444,31:108,24:101,+,0.181
445,31:108,24:101,+,0.114
446,31:108,24:101,+,0.195
447,31:108,24:101,+,0.116
448,31:108,24:101,+,0.128
449,31:108,24:101,+,0.122
450,31:108,24:101,+,0.122
451,31:108,24:101,+,0.133
452,31:108,24:101,+,0.137
453,31:108,24:101,+,0.142
454,31:108,24:101,+,0.11
455,31:108,24:101,+,0.14
456,31:108,24:101,+,0.145
457,31:108,24:101,+,0.127
458,31:108,24:101,+,0.15
459,31:108,24:101,+,0.146
460,31:108,24:101,+,0.127
461,31:108,24:101,+,0.115
462,31:108,24:101,+,0.125
463,31:108,24:101,+,0.154
464,31:108,24:101,+,0.121
465,31:108,24:101,+,0.121
466,31:108,24:101,+,0.109
467,31:108,24:101,+,0.13
468,31:108,24:101,+,0.129
469,31:108,24:101,+,0.112
470,31:108,24:101,+,0.143
471,38:115,24:101,+,0.122
472,38:115,24:101,+,0.15
473,38:115,24:101,+,0.128
474,38:115,24:101,+,0.14
475,38:115,24:101,+,0.196
476,38:115,24:101,+,0.13
477,38:115,24:101,+,0.128
478,38:115,24:101,+,0.146
479,38:115,24:101,+,0.142
480,38:115,24:101,+,0.126
481,38:115,24:101,+,0.138
482,38:115,24:101,+,0.156
483,38:115,24:101,+,0.129
484,38:115,24:101,+,0.123
485,38:115,24:101,+,0.144
486,38:115,24:101,+,0.129
487,38:115,24:101,+,0.127
488,38:115,24:101,+,0.144
489,38:115,24:101,+,0.112
490,38:115,24:101,+,0.125
491,38:115,24:101,+,0.138
492,38:115,24:101,+,0.14
493,38:115,24:101,+,0.092
494,38:115,24:101,+,0.109
495,38:115,24:101,+,0.124
496,38:115,24:101,+,0.131
497,38:115,24:101,+,0.099
498,38:115,10:50,+,0.066
499,38:115,24:101,+,0.133
500,38:115,24:101,+,0.113
501,38:115,24:101,+,0.099
502,38:115,24:101,+,0.114
503,38:115,24:101,+,0.129
504,38:115,24:101,+,0.129
505,38:115,24:101,+,0.097
506,38:115,24:101,+,0.087
507,38:115,24:101,+,0.137
508,38:115,24:101,+,0.085
509,38:115,24:101,+,0.135
510,38:115,24:101,+,0.112
511,38:115,24:101,+,0.087
512,38:115,24:101,+,0.089
513,38:115,24:101,+,0.145
514,38:115,24:101,+,0.129
515,38:115,24:101,+,0.126
516,38:115,24:101,+,0.131
517,38:115,24:101,+,0.151
518,38:115,24:101,+,0.139
519,38:115,24:101,+,0.12
520,38:115,24:101,+,0.082
521,38:115,24:101,+,0.16
522,38:115,24:101,+,0.136
523,38:115,24:101,+,0.111
524,38:115,24:101,+,0.119
525,38:115,24:101,+,0.141
526,38:115,24:101,+,0.135
527,38:115,24:101,+,0.144
528,38:115,24:101,+,0.137
529,38:115,24:101,+,0.136
530,38:115,24:101,+,0.135
531,38:115,24:101,+,0.129
532,38:115,24:101,+,0.17
533,38:115,24:101,+,0.101
534,38:115,24:101,+,0.122
535,38:115,24:101,+,0.109
536,38:115,24:101,+,0.144
537,38:115,24:101,+,0.12
538,38:115,24:101,+,0.142
539,38:115,24:101,+,0.189
540,38:115,24:101,+,0.117
541,38:115,24:101,+,0.122
542,38:115,24:101,+,0.098
543,38:115,20:97,+,0.103
544,38:115,24:101,+,0.11
545,38:115,24:101,+,0.171
546,38:115,24:101,+,0.134
547,38:115,24:101,+,0.075
548,38:115,24:101,+,0.117
549,38:115,24:101,+,0.13
550,38:115,24:101,+,0.137
551,38:115,24:101,+,0.079
552,38:115,24:101,+,0.145
553,38:115,24:101,+,0.126
554,38:115,24:101,+,0.122
555,38:115,24:101,+,0.121
556,38:115,24:101,+,0.134
557,38:115,24:101,+,0.133
558,38:115,24:101,+,0.138
559,38:115,24:101,+,0.114
560,38:115,24:101,+,0.133
561,38:115,24:101,+,0.092
562,38:115,24:101,+,0.122
563,38:115,24:101,+,0.136
564,38:115,24:101,+,0.129
565,38:115,24:101,+,0.144
566,38:115,24:101,+,0.137
567,38:115,24:101,+,0.122
568,38:115,17:57,+,0.077
569,38:115,24:101,+,0.114
570,38:115,24:101,+,0.124
571,38:115,24:101,+,0.206
572,38:115,24:101,+,0.147
573,38:115,24:101,+,0.12
574,38:115,24:101,+,0.102
575,38:115,24:101,+,0.146
576,38:115,24:101,+,0.156
577,38:115,24:101,+,0.132
578,38:115,24:101,+,0.105
579,38:115,24:101,+,0.142
580,38:115,24:101,+,0.128
581,38:115,24:101,+,0.103
582,38:115,24:101,+,0.124
583,38:115,24:101,+,0.118
584,38:115,24:101,+,0.131
585,38:115,24:101,+,0.107
586,38:115,24:101,+,0.103
587,38:115,24:101,+,0.113
588,38:115,24:101,+,0.114
589,38:115,24:101,+,0.139
590,38:115,17:57,+,0.061
591,38:115,24:101,+,0.091
592,38:115,24:101,+,0.119
593,38:115,24:101,+,0.139
594,38:115,24:101,+,0.117
595,38:115,24:101,+,0.135
596,38:115,24:101,+,0.124
597,38:115,24:101,+,0.156
598,38:115,24:101,+,0.2
599,38:115,24:101,+,0.131
600,38:115,24:101,+,0.098
601,38:115,24:101,+,0.119
602,38:115,24:101,+,0.139
603,38:115,24:101,+,0.131
604,38:115,24:101,+,0.132
605,38:115,24:101,+,0.14
606,38:115,24:101,+,0.143
607,38:115,24:101,+,0.125
608,38:115,24:101,+,0.124
609,38:115,24:101,+,0.126
610,38:115,24:101,+,0.125
611,24:101,24:101,,0.148
612,24:101,24:101,,0.144
613,24:101,24:101,,0.114
614,24:101,24:101,,0.141
615,24:101,24:101,,0.148
616,24:101,24:101,,0.116
617,24:101,24:101,,0.082
618,24:101,24:101,,0.125
619,24:101,24:101,,0.151
620,24:101,24:101,,0.115
621,24:101,24:101,,0.134
622,24:101,24:101,,0.124
623,24:101,24:101,,0.135
624,24:101,24:101,,0.108
625,24:101,24:101,,0.155
626,24:101,24:101,,0.139
627,24:101,24:101,,0.147
628,24:101,24:101,,0.142
629,24:101,24:101,,0.131
630,24:101,24:101,,0.137
631,24:101,24:101,,0.117
632,24:101,24:101,,0.109
633,24:101,24:101,,0.122
634,24:101,24:101,,0.127
635,24:101,24:101,,0.101
636,24:101,24:101,,0.103
637,24:101,24:101,,0.142
638,24:101,24:101,,0.127
639,24:101,24:101,,0.121
640,24:101,24:101,,0.14
641,24:101,24:101,,0.128
642,24:101,24:101,,0.136
643,24:101,24:101,,0.117
644,24:101,24:101,,0.121
645,24:101,24:101,,0.084
646,24:101,24:101,,0.085
647,24:101,24:101,,0.134
648,24:101,24:101,,0.12
649,24:101,24:101,,0.104
650,24:101,24:101,,0.102
651,24:101,24:101,,0.114
652,24:101,24:101,,0.115
653,24:101,24:101,,0.13
654,24:101,24:101,,0.137
655,24:101,24:101,,0.132
656,24:101,24:101,,0.135
657,24:101,24:101,,0.105
658,24:101,24:101,,0.142
659,24:101,24:101,,0.147
660,24:101,24:101,,0.107
661,24:101,24:101,,0.114
662,24:101,24:101,,0.133
663,24:101,24:101,,0.12
664,24:101,24:101,,0.149
665,24:101,24:101,,0.07
666,24:101,24:101,,0.148
667,24:101,24:101,,0.116
668,24:101,20:97,+,0.078
669,24:101,24:101,,0.213
670,24:101,24:101,,0.124
671,24:101,24:101,,0.124
672,24:101,24:101,,0.129
673,24:101,24:101,,0.145
674,24:101,24:101,,0.148
675,24:101,24:101,,0.141
676,24:101,24:101,,0.128
677,24:101,24:101,,0.163
678,24:101,24:101,,0.142
679,24:101,24:101,,0.159
680,24:101,24:101,,0.13
681,24:101,24:101,,0.117
682,24:101,24:101,,0.127
683,24:101,24:101,,0.139
684,24:101,24:101,,0.122
685,24:101,24:101,,0.134
686,24:101,24:101,,0.139
687,24:101,24:101,,0.141
688,24:101,24:101,,0.101
689,24:101,24:101,,0.145
690,24:101,24:101,,0.085
691,24:101,24:101,,0.122
692,24:101,24:101,,0.098
693,24:101,24:101,,0.147
694,24:101,24:101,,0.156
695,24:101,24:101,,0.135
696,24:101,24:101,,0.132
697,24:101,24:101,,0.133
698,24:101,24:101,,0.115
699,24:101,24:101,,0.133
700,24:101,24:101,,0.095
701,24:101,24:101,,0.109
702,24:101,24:101,,0.106
703,24:101,24:101,,0.144
704,24:101,24:101,,0.119
705,24:101,24:101,,0.123
706,24:101,24:101,,0.133
707,24:101,24:101,,0.144
708,24:101,24:101,,0.12
709,24:101,24:101,,0.088
710,24:101,24:101,,0.136
711,24:101,24:101,,0.147
712,24:101,24:101,,0.136
713,24:101,24:101,,0.138
714,24:101,24:101,,0.116
715,24:101,24:101,,0.125
716,24:101,24:101,,0.164
717,24:101,24:101,,0.128
718,24:101,24:101,,0.153
719,24:101,24:101,,0.126
720,24:101,24:101,,0.124
721,24:101,24:101,,0.133
722,24:101,20:97,+,0.08
723,24:101,24:101,,0.129
724,24:101,24:101,,0.161
725,24:101,24:101,,0.101
726,24:101,24:101,,0.146
727,24:101,24:101,,0.123
728,24:101,24:101,,0.099
729,24:101,24:101,,0.105
730,24:101,24:101,,0.1
731,24:101,24:101,,0.147
732,24:101,20:97,+,0.078
733,24:101,24:101,,0.137
734,24:101,24:101,,0.14
735,24:101,24:101,,0.14
736,24:101,24:101,,0.123
737,24:101,24:101,,0.14
738,24:101,24:101,,0.102
739,24:101,24:101,,0.118
740,24:101,24:101,,0.115
741,24:101,24:101,,0.107
742,24:101,24:101,,0.133
743,24:101,24:101,,0.135
744,24:101,24:101,,0.097
745,24:101,24:101,,0.141
746,24:101,24:101,,0.116
747,24:101,24:101,,0.131
748,24:101,24:101,,0.115
749,24:101,24:101,,0.101
750,24:101,24:101,,0.131
751,24:101,24:101,,0.168
752,24:101,24:101,,0.14
753,24:101,24:101,,0.127
754,24:101,24:101,,0.148
755,24:101,24:101,,0.117
756,24:101,24:101,,0.131
757,24:101,24:101,,0.146
758,24:101,24:101,,0.126
759,24:101,24:101,,0.137
760,24:101,24:101,,0.13
761,24:101,24:101,,0.108
762,24:101,24:101,,0.085
763,24:101,24:101,,0.073
764,24:101,24:101,,0.131
765,24:101,24:101,,0.09
766,24:101,24:101,,0.124
767,24:101,24:101,,0.125
768,24:101,24:101,,0.119
769,24:101,24:101,,0.115
770,24:101,24:101,,0.127
771,24:101,24:101,,0.119
772,24:101,24:101,,0.139
773,24:101,24:101,,0.14
774,24:101,24:101,,0.149
775,24:101,24:101,,0.142
776,24:101,24:101,,0.124
777,24:101,24:101,,0.129
778,24:101,24:101,,0.149
779,24:101,24:101,,0.13
780,24:101,24:101,,0.129
781,24:101,24:101,,0.135
782,24:101,24:101,,0.121
783,24:101,24:101,,0.14
784,24:101,24:101,,0.126
785,24:101,24:101,,0.133
786,24:101,24:101,,0.108
787,24:101,24:101,,0.118
788,24:101,24:101,,0.098
789,24:101,24:101,,0.131
790,24:101,24:101,,0.149
791,24:101,24:101,,0.139
792,24:101,24:101,,0.115
793,24:101,24:101,,0.128
794,24:101,24:101,,0.117
795,24:101,24:101,,0.135
796,24:101,24:101,,0.125
797,24:101,24:101,,0.119
798,24:101,24:101,,0.12
799,24:101,24:101,,0.147
800,24:101,24:101,,0.121
801,24:101,24:101,,0.132
802,24:101,24:101,,0.148
803,24:101,24:101,,0.126
804,24:101,24:101,,0.121
805,24:101,24:101,,0.138
806,24:101,24:101,,0.153
807,24:101,24:101,,0.132
808,24:101,24:101,,0.111
809,24:101,24:101,,0.095
810,24:101,24:101,,0.111
811,24:101,24:101,,0.128
812,24:101,24:101,,0.136
813,24:101,24:101,,0.131
814,24:101,24:101,,0.109
815,24:101,24:101,,0.101
816,24:101,24:101,,0.125
817,24:101,24:101,,0.137
818,24:101,24:101,,0.152
819,24:101,24:101,,0.12
820,24:101,24:101,,0.126
821,24:101,24:101,,0.117
822,24:101,24:101,,0.128
823,24:101,24:101,,0.147
824,24:101,24:101,,0.112
825,24:101,24:101,,0.074
826,24:101,24:101,,0.128
827,24:101,24:101,,0.143
828,24:101,24:101,,0.143
829,24:101,24:101,,0.134
830,24:101,24:101,,0.158
831,24:101,24:101,,0.132
832,24:101,24:101,,0.173
833,24:101,24:101,,0.141
834,24:101,24:101,,0.127
835,24:101,24:101,,0.119
836,24:101,24:101,,0.123
837,24:101,24:101,,0.11
838,24:101,24:101,,0.144
839,24:101,24:101,,0.102
840,24:101,24:101,,0.16
841,24:101,24:101,,0.139
842,24:101,24:101,,0.118
843,24:101,24:101,,0.114
844,24:101,24:101,,0.13
845,24:101,24:101,,0.118
846,24:101,24:101,,0.161
847,24:101,24:101,,0.126
848,24:101,24:101,,0.149
849,24:101,24:101,,0.163
850,24:101,24:101,,0.15
851,24:101,24:101,,0.127
852,24:101,24:101,,0.076
853,24:101,24:101,,0.154
854,24:101,24:101,,0.197
855,24:101,24:101,,0.142
856,24:101,24:101,,0.146
857,24:101,24:101,,0.093
858,24:101,24:101,,0.12
859,24:101,24:101,,0.126
860,24:101,24:101,,0.149
861,24:101,24:101,,0.126
862,24:101,24:101,,0.128
863,24:101,24:101,,0.129
864,24:101,24:101,,0.134
865,24:101,24:101,,0.098
866,24:101,24:101,,0.136
867,24:101,24:101,,0.132
868,24:101,24:101,,0.09
869,24:101,24:101,,0.111
870,24:101,24:101,,0.14
871,24:101,24:101,,0.144
872,24:101,24:101,,0.129
873,24:101,24:101,,0.121
874,24:101,24:101,,0.127
875,24:101,24:101,,0.099
876,24:101,24:101,,0.116
877,24:101,24:101,,0.13
878,24:101,24:101,,0.136
879,24:101,24:101,,0.095
880,24:101,20:97,+,0.065
881,24:101,24:101,,0.113
882,24:101,24:101,,0.147
883,24:101,24:101,,0.135
884,24:101,24:101,,0.132
885,24:101,24:101,,0.117
886,24:101,24:101,,0.122
887,24:101,24:101,,0.165
888,24:101,24:101,,0.135
889,24:101,24:101,,0.116
890,24:101,24:101,,0.116
